model,operation,reference_char,predicted_char,count
Qwen3-VL,substitution,l,ł,4
Qwen3-VL,substitution,K,k,2
Qwen3-VL,substitution,S,Ś,1
Qwen3-VL,substitution,e,ę,7
Qwen3-VL,substitution,s,ś,1
Qwen3-VL,substitution,?,.,1
Qwen3-VL,substitution,r,d,1
Qwen3-VL,substitution,ę,e,2
Qwen3-VL,substitution,t,n,1
Qwen3-VL,substitution,",",.,1
Qwen3-VL,substitution,Ś,S,2
Qwen3-VL,substitution,z,w,1
Qwen3-VL,substitution,ą,a,1
Qwen3-VL,substitution,T,S,1
Qwen3-VL,substitution,y,e,1
Qwen3-VL,substitution,e,c,3
Qwen3-VL,substitution,s,h,1
Qwen3-VL,substitution,w,b,1
Qwen3-VL,substitution,s,m,1
Qwen3-VL,substitution,k,t,1
Qwen3-VL,substitution,u,r,1
Qwen3-VL,substitution,n,ó,1
Qwen3-VL,substitution,d,w,1
Qwen3-VL,substitution,t,ł,1
Qwen3-VL,substitution,P,p,2
Qwen3-VL,substitution,k,K,1
Qwen3-VL,substitution,d,t,1
Qwen3-VL,substitution,u,ó,1
Qwen3-VL,substitution,z,ż,2
Qwen3-VL,substitution,N,n,1
Qwen3-VL,substitution,o,a,3
Qwen3-VL,substitution,D,R,1
Qwen3-VL,deletion,.,,7
Qwen3-VL,deletion,I,,1
Qwen3-VL,deletion,D,,1
Qwen3-VL,deletion,:,,1
Qwen3-VL,deletion, ,,2
Qwen3-VL,deletion,n,,1
Qwen3-VL,deletion,a,,1
Qwen3-VL,deletion,k,,1
Qwen3-VL,deletion,”,,1
Qwen3-VL,deletion,i,,1
Qwen3-VL,deletion,m,,1
Qwen3-VL,deletion,l,,1
Qwen3-VL,deletion,r,,1
Qwen3-VL,deletion,h,,1
Qwen3-VL,insertion,,.,3
Qwen3-VL,insertion,, ,3
Qwen3-VL,insertion,,o,1
Qwen3-VL,insertion,,I,1
Qwen3-VL,insertion,,a,1
Qwen3-VL,insertion,,l,1
Qwen3-VL,insertion,,u,1
Qwen3-VL,insertion,,r,1
Qwen3-VL,insertion,,z,1
Qwen3-VL,insertion,,ł,1
Qwen3-VL,insertion,,:,1
TrOCR-large,substitution,ą,a,2
TrOCR-large,substitution,p,P,4
TrOCR-large,substitution,o,e,2
TrOCR-large,substitution,n,c,2
TrOCR-large,substitution,a,z,2
TrOCR-large,substitution,m,w,1
TrOCR-large,substitution,i,o,1
TrOCR-large,substitution,n,m,1
TrOCR-large,substitution,I,T,1
TrOCR-large,substitution,a,c,2
TrOCR-large,substitution,c,a,1
TrOCR-large,substitution,h,ł,1
TrOCR-large,substitution,l,ł,3
TrOCR-large,substitution,a,e,1
TrOCR-large,substitution,o,a,5
TrOCR-large,substitution,s,ś,1
TrOCR-large,substitution,e,ę,3
TrOCR-large,substitution,ć,ś,1
TrOCR-large,substitution,p,j,1
TrOCR-large,substitution,ó,a,1
TrOCR-large,substitution,ł,k,1
TrOCR-large,substitution,k,K,2
TrOCR-large,substitution,",",.,1
TrOCR-large,substitution,n,e,1
TrOCR-large,substitution, ,z,1
TrOCR-large,substitution,—,?,1
TrOCR-large,substitution,l,g,1
TrOCR-large,substitution,i,r,1
TrOCR-large,substitution,n,ł,2
TrOCR-large,substitution, ,o,1
TrOCR-large,substitution,l,s,2
TrOCR-large,substitution,e,i,1
TrOCR-large,substitution,t,ł,1
TrOCR-large,substitution,P,p,2
TrOCR-large,substitution,1,3,1
TrOCR-large,substitution,d,t,1
TrOCR-large,substitution,u,ó,1
TrOCR-large,substitution,z,ż,2
TrOCR-large,substitution,e,c,2
TrOCR-large,substitution,c,i,1
TrOCR-large,substitution,h,n,1
TrOCR-large,substitution,D,R,1
TrOCR-large,substitution,ę,e,1
TrOCR-large,substitution,Ś,S,1
TrOCR-large,substitution,ż,z,1
TrOCR-large,deletion,c,,4
TrOCR-large,deletion,i,,5
TrOCR-large,deletion,l,,4
TrOCR-large,deletion,.,,8
TrOCR-large,deletion,I,,1
TrOCR-large,deletion,D,,1
TrOCR-large,deletion,:,,1
TrOCR-large,deletion, ,,3
TrOCR-large,deletion,E,,1
TrOCR-large,deletion,R,,3
TrOCR-large,deletion,O,,1
TrOCR-large,deletion,0,,1
TrOCR-large,deletion,1,,1
TrOCR-large,deletion,a,,2
TrOCR-large,deletion,?,,1
TrOCR-large,deletion,”,,1
TrOCR-large,deletion,o,,1
TrOCR-large,deletion,ć,,1
TrOCR-large,deletion,p,,3
TrOCR-large,deletion,ó,,1
TrOCR-large,deletion,ł,,1
TrOCR-large,deletion,m,,1
TrOCR-large,deletion,s,,1
TrOCR-large,deletion,z,,1
TrOCR-large,deletion,r,,1
TrOCR-large,deletion,h,,1
TrOCR-large,insertion,,e,3
TrOCR-large,insertion,,c,4
TrOCR-large,insertion,,o,3
TrOCR-large,insertion,,i,3
TrOCR-large,insertion,,.,8
TrOCR-large,insertion,,a,4
TrOCR-large,insertion,,p,1
TrOCR-large,insertion,,t,1
TrOCR-large,insertion,, ,4
TrOCR-large,insertion,,z,2
TrOCR-large,insertion,,r,1
TrOCR-large,insertion,,I,1
TrOCR-large,insertion,,D,1
TrOCR-large,insertion,,:,2
TrOCR-large,insertion,,ł,1
TrOCR-large,insertion,,s,1
TrOCR-large,insertion,,l,1
Kraken/CRNN,substitution,L,l,1
Kraken/CRNN,substitution,z,r,1
Kraken/CRNN,substitution,M,Y,1
Kraken/CRNN,substitution,z,e,1
Kraken/CRNN,substitution,e,d,1
Kraken/CRNN,substitution,ś,i,1
Kraken/CRNN,substitution,ć,e,1
Kraken/CRNN,substitution,l,ł,4
Kraken/CRNN,substitution,I,T,1
Kraken/CRNN,substitution,C,Ć,1
Kraken/CRNN,substitution,s,ś,1
Kraken/CRNN,substitution,a,n,1
Kraken/CRNN,substitution,l,z,1
Kraken/CRNN,substitution,n,r,1
Kraken/CRNN,substitution,a,z,1
Kraken/CRNN,substitution,c,a,1
Kraken/CRNN,substitution,h,ł,1
Kraken/CRNN,substitution,m,1,1
Kraken/CRNN,substitution,c,s,2
Kraken/CRNN,substitution,z,ą,1
Kraken/CRNN,substitution,?,.,1
Kraken/CRNN,substitution,p,r,1
Kraken/CRNN,substitution, ,d,1
Kraken/CRNN,substitution,c,w,1
Kraken/CRNN,substitution,w,P,1
Kraken/CRNN,substitution,m,s,1
Kraken/CRNN,substitution,a,e,1
Kraken/CRNN,substitution, ,c,1
Kraken/CRNN,substitution,A,I,1
Kraken/CRNN,substitution,w,m,1
Kraken/CRNN,substitution,i,r,1
Kraken/CRNN,substitution,e,o,2
Kraken/CRNN,substitution,Ś,G,1
Kraken/CRNN,substitution,k,K,1
Kraken/CRNN,substitution,",",.,1
Kraken/CRNN,substitution, ,i,2
Kraken/CRNN,substitution,k,o,1
Kraken/CRNN,substitution,d,i,1
Kraken/CRNN,substitution,e,ę,1
Kraken/CRNN,substitution,o,e,1
Kraken/CRNN,substitution,a,w,1
Kraken/CRNN,substitution,3,8,1
Kraken/CRNN,substitution,ą,a,2
Kraken/CRNN,substitution,ę,e,1
Kraken/CRNN,substitution,i,e,2
Kraken/CRNN,substitution,i,o,1
Kraken/CRNN,substitution,n,ł,1
Kraken/CRNN,substitution,i,:,1
Kraken/CRNN,substitution,e,ż,1
Kraken/CRNN,substitution,k,ł,1
Kraken/CRNN,substitution,y,r,1
Kraken/CRNN,substitution,m,i,1
Kraken/CRNN,substitution, ,e,1
Kraken/CRNN,substitution,s,.,1
Kraken/CRNN,substitution,t,ł,1
Kraken/CRNN,substitution,",",n,1
Kraken/CRNN,substitution,P,p,1
Kraken/CRNN,substitution, ,p,1
Kraken/CRNN,substitution,p,z,1
Kraken/CRNN,substitution,a,d,1
Kraken/CRNN,substitution,S,s,1
Kraken/CRNN,substitution,d,t,1
Kraken/CRNN,substitution,z,ż,2
Kraken/CRNN,substitution,N,n,1
Kraken/CRNN,substitution,o,a,3
Kraken/CRNN,substitution,e,c,2
Kraken/CRNN,substitution,D,R,1
Kraken/CRNN,substitution,Ś,S,1
Kraken/CRNN,substitution,%,4,1
Kraken/CRNN,substitution,ż,r,1
Kraken/CRNN,substitution,U,P,1
Kraken/CRNN,substitution,I,Ą,1
Kraken/CRNN,deletion,s,,5
Kraken/CRNN,deletion,W,,3
Kraken/CRNN,deletion,",",,2
Kraken/CRNN,deletion,c,,1
Kraken/CRNN,deletion, ,,10
Kraken/CRNN,deletion,.,,5
Kraken/CRNN,deletion,t,,5
Kraken/CRNN,deletion,i,,5
Kraken/CRNN,deletion,I,,1
Kraken/CRNN,deletion,D,,1
Kraken/CRNN,deletion,:,,3
Kraken/CRNN,deletion,ł,,4
Kraken/CRNN,deletion,n,,4
Kraken/CRNN,deletion,a,,2
Kraken/CRNN,deletion,ż,,2
Kraken/CRNN,deletion,e,,4
Kraken/CRNN,deletion,z,,4
Kraken/CRNN,deletion,K,,1
Kraken/CRNN,deletion,j,,1
Kraken/CRNN,deletion,l,,5
Kraken/CRNN,deletion,N,,1
Kraken/CRNN,deletion,ó,,1
Kraken/CRNN,deletion,w,,4
Kraken/CRNN,deletion,ś,,2
Kraken/CRNN,deletion,g,,2
Kraken/CRNN,deletion,m,,2
Kraken/CRNN,deletion,U,,1
Kraken/CRNN,deletion,°,,1
Kraken/CRNN,deletion,/,,1
Kraken/CRNN,deletion,;,,1
Kraken/CRNN,deletion,r,,4
Kraken/CRNN,deletion,o,,1
Kraken/CRNN,deletion,ć,,1
Kraken/CRNN,deletion,”,,1
Kraken/CRNN,deletion,—,,1
Kraken/CRNN,deletion,R,,1
Kraken/CRNN,deletion,ę,,1
Kraken/CRNN,deletion,P,,1
Kraken/CRNN,insertion,,w,1
Kraken/CRNN,insertion,,b,2
Kraken/CRNN,insertion,,u,2
Kraken/CRNN,insertion,,.,12
Kraken/CRNN,insertion,,T,1
Kraken/CRNN,insertion,,I,1
Kraken/CRNN,insertion,,i,4
Kraken/CRNN,insertion,,),1
Kraken/CRNN,insertion,,A,2
Kraken/CRNN,insertion,,e,7
Kraken/CRNN,insertion,,ś,1
Kraken/CRNN,insertion,,z,4
Kraken/CRNN,insertion,,r,1
Kraken/CRNN,insertion,,a,7
Kraken/CRNN,insertion,, ,6
Kraken/CRNN,insertion,,t,2
Kraken/CRNN,insertion,,S,1
Kraken/CRNN,insertion,,o,4
Kraken/CRNN,insertion,,U,1
Kraken/CRNN,insertion,,ł,1
Kraken/CRNN,insertion,,K,2
Kraken/CRNN,insertion,,k,1
Kraken/CRNN,insertion,,:,1
Kraken/CRNN,insertion,,s,1
Kraken/CRNN,insertion,,n,2
Kraken/CRNN,insertion,,ó,1
Kraken/CRNN,insertion,,p,1
Kraken/CRNN,insertion,,0,1
