family,model_id,dataset,source_dataset,preprocessing_variant,samples,cer_mean,cer_median,corpus_cer,wer_mean,wer_median,corpus_wer,cla_mean,corpus_cla,crw_mean,corpus_crw,char_accuracy_mean,corpus_char_accuracy,word_accuracy_mean,corpus_word_accuracy,exact_match_rate,reference_chars,edit_distance_chars,char_substitutions,char_insertions,char_deletions,char_correct,reference_words,edit_distance_words,word_substitutions,word_insertions,word_deletions,correct_recognized_words,inference_seconds_total,inference_seconds_mean,inference_seconds_median,rss_after_mb_max,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,model_short
CRNN/Kraken,CRNN/Kraken,polish_forms_test,polish_forms,native,241,0.7748429286425338,0.7758620689655172,0.7709226467847158,1.037214318645854,1.0,1.0272780034822984,0.5403435817891804,0.5439888164026095,0.0036307053941908715,0.004062681369704005,0.2251570713574662,0.22907735321528422,0.0025933609958506223,0.0,0.0,10730,8272,4770,123,3379,2581,1723,1770,1370,54,346,7,141.28310680016875,0.5862369576770488,0.5772578000323847,1278.0,,,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_train,polish_forms,native,1844,0.7675055533351806,0.775,0.7632485103057537,1.0405501990778563,1.0,1.0297426413931268,0.5505078417062913,0.5527131972257497,0.006276273738312783,0.0072430266605023885,0.23249444666481947,0.2367514896942463,0.0033790609848093575,0.0,0.0,81896,62507,35633,998,25876,20387,12978,13364,10193,480,2691,94,1099.2839995013783,0.5961409975604004,0.5782011999981478,1278.0,,,CRNN/Kraken
CRNN/Kraken,CRNN/Kraken,polish_forms_val,polish_forms,native,228,0.7665676630789386,0.7802439024390244,0.762663798161549,1.038810568086884,1.0,1.0273390036452006,0.5516840280023901,0.5548601603755134,0.010112085769980506,0.01275820170109356,0.23343233692106127,0.23733620183845106,0.006639863547758284,0.0,0.0,10226,7799,4421,131,3247,2558,1646,1691,1270,66,355,21,133.02450930082705,0.5834408302667853,0.574884400004521,1275.51171875,,,CRNN/Kraken
TrOCR,microsoft/trocr-base-handwritten,polish_forms_test,polish_forms,native,241,0.8651992992614717,0.75,0.8464119291705499,1.423218402160311,1.375,1.4010446894950668,0.16863861038721262,0.18937558247903075,0.036139102944082194,0.035403366221706326,0.25798596030253623,0.15358807082945014,0.002563722584469472,0.0,0.0,10730,9082,4755,3943,384,5591,1723,2414,1639,752,23,61,486.347953649587,2.0180413014505683,1.5352650500135496,1091.25390625,690.29443359375,774.0,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_train,polish_forms,native,1844,0.8014327329118064,0.7457627118644068,0.7852276057438703,1.44142828580193,1.375,1.3982123593774078,0.23653934672643342,0.2541882387418189,0.04029630438252998,0.04122360918477423,0.2585753152270495,0.2147723942561297,0.004305684674448231,0.0,0.0,81896,64307,36261,24818,3228,42407,12978,18146,12154,5703,289,535,3158.8144197022193,1.7130230041769086,1.57673070000601,1091.25390625,690.29443359375,774.0,trocr-base
TrOCR,microsoft/trocr-base-handwritten,polish_forms_val,polish_forms,native,228,0.7817963342617591,0.7663120567375887,0.7676510854684139,1.45010268727374,1.375,1.4173754556500608,0.25340802971664045,0.2692157246235087,0.04114278752436647,0.0425273390036452,0.2456543752119737,0.23234891453158613,0.001888401559454191,0.0,0.0,10226,7850,4584,2889,377,5265,1646,2333,1549,757,27,70,372.9570028503076,1.6357763282908229,1.537279199983459,1069.2734375,690.2939453125,774.0,trocr-base
TrOCR,microsoft/trocr-large-handwritten,polish_forms_test,polish_forms,native,241,0.5788985444540814,0.5853658536585366,0.5818266542404473,1.150416584337746,1.0,1.1369704004643064,0.4859052183003946,0.4833178005591799,0.04958176908384377,0.04991294254207777,0.42133092870070293,0.4181733457595527,0.019483962326285978,0.0,0.0,10730,6243,4326,1218,699,5705,1723,1959,1582,322,55,86,512.7582295506145,2.1276275085087737,2.1056032499764115,542.22265625,1107.21533203125,1138.0,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_train,polish_forms,native,1844,0.5616628713599472,0.56,0.5634096903389665,1.1739888425625953,1.1111111111111112,1.1512559716443211,0.499595874590282,0.49833935723356454,0.06061144055992212,0.06010171058714748,0.4394312626036477,0.4365903096610335,0.025428889921840028,0.0,0.0,81896,46141,31696,9388,5057,45143,12978,14941,11738,2743,460,780,4025.757115949702,2.1831654641809664,2.15658045001328,1004.48828125,1107.2158203125,1138.0,trocr-large
TrOCR,microsoft/trocr-large-handwritten,polish_forms_val,polish_forms,native,228,0.5694869960238728,0.5700280112044818,0.5700176021904948,1.1737625313283209,1.0416666666666665,1.1537059538274606,0.4971969218445859,0.4970663015841971,0.057506613756613756,0.0583232077764277,0.43051300397612724,0.4299823978095052,0.026815302144249507,0.0,0.0,10226,5829,3995,1148,686,5545,1646,1899,1487,349,63,96,493.7325398995308,2.165493596050574,2.1502540499786846,560.42578125,1107.21533203125,1138.0,trocr-large
TrOCR,microsoft/trocr-small-handwritten,polish_forms_test,polish_forms,native,241,0.7838407506044875,0.6818181818181818,0.7703634669151911,1.2358888230257523,1.125,1.2199651770168312,0.30350967345619795,0.31882572227399814,0.03431304748732134,0.03656413232733604,0.3259698062709077,0.2296365330848089,0.012711585325693208,0.0,0.0,10730,8266,4982,2327,957,4791,1723,2102,1551,442,109,63,55.41902405006112,0.22995445663925776,0.1800109499599784,1574.28125,163.13916015625,474.0,trocr-small
TrOCR,microsoft/trocr-small-handwritten,polish_forms_train,polish_forms,native,1844,0.9449685920405304,0.68,0.8475749731366611,1.4224599966194327,1.0,1.3049776544922176,0.1440274321138261,0.2436749047572531,0.0367625550516006,0.03906611188164586,0.32042304415059863,0.15242502686333892,0.014104537003127023,0.0,0.0,81896,69413,37738,24202,7473,36685,12978,16936,11525,4465,946,507,449.21087775001064,0.24360676667571077,0.1752704000100493,1575.81640625,163.14111328125,474.0,trocr-small
TrOCR,microsoft/trocr-small-handwritten,polish_forms_val,polish_forms,native,228,0.7292269624307062,0.6739439962031324,0.7098572266770976,1.336057156780841,1.125,1.267314702308627,0.3641316896384312,0.3861725014668492,0.03444896964633806,0.037059538274605106,0.32258458396038675,0.2901427733229024,0.011140698969646335,0.0,0.0,10226,7259,4763,1514,982,4481,1646,2086,1478,501,107,61,43.78200910019222,0.19202635570259746,0.1739147499902174,1575.1015625,163.14111328125,474.0,trocr-small
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_test,polish_forms,native,241,0.2208279987330004,0.1403508771929824,0.2266542404473439,0.5012217611802674,0.5,0.5072547881601858,0.8074141621532319,0.8027027027027027,0.5523743660673122,0.5409170052234474,0.791633965305727,0.773345759552656,0.5211552394125009,0.49274521183981423,0.11618257261410789,10730,2432,1622,495,315,8793,1723,874,752,83,39,932,1744.0350007994566,7.236659754354592,7.114465199992992,1199.84375,4205.68994140625,4314.0,Qwen3-VL-2B-Instruct
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_train,polish_forms,native,1844,0.2096429291916134,0.1372549019607843,0.21020562664843215,0.5035937504890867,0.4285714285714285,0.4904453690861458,0.8174094954654313,0.8175002442121715,0.566059651363339,0.5673447372476499,0.8044989054919199,0.7897943733515679,0.5298017751108858,0.5095546309138542,0.0992407809110629,81896,17215,11057,3889,2269,68570,12978,6365,5327,750,288,7363,13358.579043399077,7.244348722016853,7.15616020001471,4209.87890625,4229.2041015625,4314.0,Qwen3-VL-2B-Instruct
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_val,polish_forms,native,228,0.22704518450232258,0.14459930313588845,0.22853510659104245,0.5186769005847953,0.4722222222222222,0.5060753341433779,0.7990594967376979,0.7976725992567965,0.5462562656641604,0.5492102065613609,0.7835534655693607,0.7714648934089575,0.5079051796157059,0.4939246658566221,0.08771929824561403,10226,2337,1526,543,268,8432,1646,833,691,91,51,904,1660.7097512000473,7.283814698245822,7.1809178499970585,1200.62109375,4205.68994140625,4314.0,Qwen3-VL-2B-Instruct
